[16:52:21] _url: /kvmadmin/request_handler.php? _action: LOGIN
[16:52:25] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:52:25] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:52:25] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:52:25] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:52:25] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:52:25] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:52:25] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:52:25] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:52:25] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:52:25] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:52:33] _url: /kvmadmin/rpc_handler.php? _action: openVNCConsole
[16:57:43] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:57:43] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:57:43] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:57:43] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:57:43] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:57:43] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:57:43] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:57:43] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:57:43] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:57:43] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:57:56] _url: /kvmadmin/request_handler.php? _action: STOP_VMGUEST
[16:57:58] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:57:58] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:57:58] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:57:58] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:57:58] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:57:58] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:57:58] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:57:58] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:57:58] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:57:59] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:58:03] _url: /kvmadmin/rpc_handler.php? _action: GET_HOST_NET_LIST
[16:58:08] _url: /kvmadmin/request_handler.php? _action: ADD_VMGUEST_NIC
[16:58:09] Qeury String select count(*) from vm_guest_tbl where vc_mac='00:22:14:04:74:D2' LIMIT 1 Error Unknown column 'vc_mac' in 'where clause'
[16:58:40] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:58:40] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:58:40] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:58:40] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:58:41] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:58:41] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:58:41] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:58:41] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:58:41] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:58:41] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:58:43] _url: /kvmadmin/request_handler.php? _action: START_VMGUEST
[16:58:45] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:58:45] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:58:45] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:58:45] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:58:45] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:58:45] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:58:45] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:58:45] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:58:45] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:58:45] _url: /kvmadmin/rpc_handler.php? _action: GET_VM_STATE
[16:58:56] _url: /kvmadmin/rpc_handler.php? _action: openVNCConsole
